,zip,population,households,Land-Sq-Mi,pop_den
0,15006,508,187,0.24600000000000002,2065.040650406504
1,15007,343,188,0.33399999999999996,1026.9461077844312
2,15014,3154,1315,0.508,6208.6614173228345
3,15015,1154,476,0.9359999999999999,1232.905982905983
4,15017,16883,7347,13.044,1294.3115608708983
5,15018,892,349,1.8840000000000001,473.46072186836517
6,15020,236,102,1.32,178.78787878787878
7,15025,16133,6790,16.557000000000002,974.3914960439691
8,15028,158,61,0.2,790.0
9,15030,1063,523,1.88,565.4255319148937
10,15034,1763,909,0.968,1821.2809917355373
11,15035,2073,987,0.415,4995.180722891567
12,15044,28131,10390,41.343,680.4295769537769
13,15045,4435,2097,1.5819999999999999,2803.413400758534
14,15046,2606,1019,2.097,1242.7277062470196
15,15047,80,53,0.191,418.848167539267
16,15049,834,507,0.431,1935.0348027842228
17,15051,409,221,0.828,493.96135265700485
18,15056,1184,543,0.9209999999999999,1285.5591748099891
19,15064,277,137,0.823,336.5735115431349
20,15065,11604,4925,12.38,937.3182552504038
21,15071,10589,4532,18.326,577.8129433591619
22,15075,179,68,0.024,7458.333333333333
23,15076,840,454,0.73,1150.6849315068494
24,15082,118,99,0.313,376.99680511182106
25,15083,798,339,3.6639999999999997,217.79475982532753
26,15084,9887,4613,27.822,355.36625691898496
27,15086,285,144,1.6280000000000001,175.06142506142504
28,15088,513,162,0.201,2552.2388059701493
29,15090,23960,9004,21.125999999999998,1134.147495976522
30,15102,29706,12326,10.350999999999999,2869.8676456381027
31,15104,8722,3745,2.448,3562.9084967320264
32,15110,5544,2254,1.818,3049.5049504950493
33,15112,2921,1428,0.836,3494.019138755981
34,15116,14747,6162,8.082,1824.6721108636475
35,15120,18372,8486,4.673,3931.5215065268562
36,15122,19850,8585,12.607999999999999,1574.3972081218276
37,15126,7433,3256,22.266,333.8273601006018
38,15129,10539,4444,8.054,1308.5423392103303
39,15131,8154,3691,7.287999999999999,1118.8254665203074
40,15132,21571,9911,5.646,3820.5809422600073
41,15133,6349,2987,2.978,2131.9677635997314
42,15135,5206,2213,4.198,1240.1143401619818
43,15136,22350,9602,11.124,2009.1693635382956
44,15137,9965,4644,7.735,1288.2999353587588
45,15139,6440,3192,1.92,3354.166666666667
46,15142,1125,596,1.454,773.7276478679505
47,15143,20556,8436,36.812,558.4048679778333
48,15144,4124,1886,2.758,1495.286439448876
49,15145,7216,3267,1.97,3662.944162436548
50,15146,28042,12495,19.704,1423.1628095818107
51,15147,17057,8212,10.117,1685.974102994959
52,15148,2792,1230,1.117,2499.5523724261416
53,15202,19536,10039,4.397,4443.029338185126
54,15203,10171,5342,1.4780000000000002,6881.596752368064
55,15204,8052,3630,1.865,4317.426273458445
56,15205,22408,10330,10.302999999999999,2174.900514413278
57,15207,12075,4887,4.795,2518.2481751824816
58,15209,12225,5674,4.508,2711.845607808341
59,15210,26169,11072,4.64,5639.870689655173
60,15211,10804,5524,1.544,6997.40932642487
61,15213,28265,9993,2.131,13263.725950258096
62,15214,13855,6006,4.7010000000000005,2947.2452669644754
63,15215,12424,5403,6.152,2019.5058517555267
64,15216,22728,10521,3.423,6639.789658194566
65,15217,28049,11719,3.806,7369.679453494482
66,15218,13623,6792,2.371,5745.676929565584
67,15219,16514,5355,2.3169999999999997,7127.319810099267
68,15220,17612,8065,4.939,3565.9040291556994
69,15221,30666,16084,6.147,4988.775012201074
70,15223,6562,3118,1.916,3424.8434237995825
71,15224,10723,5593,1.0070000000000001,10648.460774577952
72,15225,1096,600,1.531,715.8719790986283
73,15226,13632,6320,2.5340000000000003,5379.636937647987
74,15227,28710,11739,6.18,4645.631067961165
75,15228,17858,7273,3.141,5685.450493473416
76,15229,13599,6023,4.044,3362.7596439169142
77,15232,11252,6174,0.795,14153.459119496854
78,15233,4537,1414,1.246,3641.252006420546
79,15234,13660,6267,3.1660000000000004,4314.592545799115
80,15235,34769,15048,14.663,2371.2064379731296
81,15236,29236,12440,11.099,2634.1111811874944
82,15237,42391,18165,24.221999999999998,1750.1032119560732
83,15238,13042,5302,16.369,796.7499541816849
84,15239,20860,8618,15.984000000000002,1305.055055055055
85,15241,20712,7646,10.401,1991.3469858667436
86,15243,13320,5589,3.008,4428.191489361702
87,15290,0,0,0.04,0.0
88,16046,15922,6135,22.737,700.2682851739456
89,16229,5118,2230,24.895,205.58345049206667
